"Type","Country","Region","Location","Name","Latitude","Longitude","Year Deployment","Year Modification","Bottom Depth [m]","Reef Edge [m]","Min. Dist. From Coastline [km]","Surrounding Seabed","Meadows","Reef Typology","Structure Wreck","Material","Arrangement Modules","Origin Reef","Total Area [sqm]","Total Volume [cum]","Oasis [Nr.]","Distance Between Oasis [m]","Oasi Dimension[sqm]","Type Of Structures","Structures [Nr.]","Structures Dimension [m]","Dist. Between Structures [m]","Modules Shape","Modules [Nr.]","Dist Between Modules [m]","Dimension LWH [m]","Weight Or Displacement [tons]","Experimental/Professional","Scope","Exploitation","Possible Exploitation","Observations","Biocenosis","Alien Species","Protected Species","Protected area","Management Program","Concession Area","Surveillance Service","Monitoring Program","Available data","Available literature (Scientific or Grey)"
"Natural reef","Italy","Friuli Venezia Giulia","Grado","San Pietro","45.603","13.337",,,"15 - 16","0.2-1.9",8.7,"Sand, Detritic","Yes, algae","Ledges (vertical reef face characterized by visible crevices) 
Patch reef (sand bottom with small reef structures protruding from the sediment)",,,,"Biogenic","9850",,,,,,,,,,,,,,,,"Diving/Snorkeling, Recreational fishery","Diving/Snorkeling",,"DC (coastal detritic), AP (photophil algae), C (precoralligen)","no","Homarus gammarus, Sciaena umbra","Natura 2000 site (SIC)","no",,"no","no","Benthic community, Fish community, Geophysical map","Progetto Le trezze dell'alto Adriatico: Studio di alcune aree di particolare pregio ambientale ai fini della valorizzazione delle risorse alieutiche locali. Gordini E. 2010. Relazione tecnico-scientifica finale N. 103 / 2010 RIMA 17 GEA. p: 19-39.;"
"Natural reef","Italy","Friuli Venezia Giulia","Grado","Bardelli",45.53565,13.278067,,,"20.2 - 22.5","0.2-1.9",15.5,"Sand, Detritic","Yes, algae","Ledges (vertical reef face characterized by visible crevices) 
Patch reef (sand bottom with small reef structures protruding from the sediment)",,,,"Biogenic","6430",,,,,,,,,,,,,,,,"Diving/Snorkeling, Recreational fishery","Diving/Snorkeling",,"DC (coastal detritic), C (precoralligen) ","no","Homarus gammarus, Mitra zonata, Sciaena umbra","Natura 2000 site (SIC)","no",,"no","no","Benthic community, Fish community, Geophysical map","Progetto Le trezze dell'alto Adriatico: Studio di alcune aree di particolare pregio ambientale ai fini della valorizzazione delle risorse alieutiche locali. Gordini E. 2010. Relazione tecnico-scientifica finale N. 103 / 2010 RIMA 17 GEA. p: 19-39.;"
"Natural reef","Italy","Marche","Ancona","Bianconi","43.588","13.568",,,"9-11 ","6",0.6,"Sand","No","Patch reef (sand bottom with small reef structures protruding from the sediment)",,,,"Geogenic",,,,,,,,,,,,,,,,,"Professional Fishery","Recreational fishery",,"infralittoral sciaphilic population on rocks with biological concretions",,"Pholas dactylus, Pinna nobilis","Natura 2000 (SIC - Costa tra Ancona e Portonovo: IT5320005); Natura 2000 (SPA - Monte Conero: IT5320015)","no",,"no","no","Benthic community, Sediments",
"Natural reef","Italy","Marche","Ancona","Scogli del cavallo","43.601","13.554",,,"10","7","< 0.1","Sand","No","Patch reef (sand bottom with small reef structures protruding from the sediment)",,,,"Geogenic",,,,,,,,,,,,,,,,,"Professional Fishery","Recreational fishery",,"infralittoral sciaphilic population on rock with biological concretion, with mussels",,"Lithophaga lithophaga, Pholas dactylus","Natura 2000 (SIC - Costa tra Ancona e Portonovo: IT5320005); Natura 2000 (SPA - Monte Conero: IT5320015)","no",,"no","no","Benthic community",
"Natural reef","Italy","Marche","Spiaggia di Mezzavalle","Scoglio del Trave","43.581","13.572",,,"10-11","0-5",0.01,"Sand","No","Low profile reef (the reef protrudes less than 20 meters  from the base substratum)",,,,"Geogenic",,,,,,,,,,,,,,,,,"Professional fishery","Recreational fishery",,"Nitrophilous mosaic on a hard substrate with mussel and photophilic biocenosis of the upper infralittoral rock in calm mode without the dominance of fucales (RIPC/o)",,"Lithophaga lithophaga","Natura 2000 (SIC - Costa tra Ancona e Portonovo: IT5320005); Natura 2000 (SPA - Monte Conero: IT5320015)","no",,"no","no","Benthic community",
"Natural reef","Italy","Marche","Portonovo","Secca dell'ospedale","43.559","13.609",,,"4 - 14","5",0.3,"Sand","No","Patch reef (sand bottom with small reef structures protruding from the sediment)",,,,"Geogenic",,,,,,,,,,,,,,,,,,"Recreational fishery, Fishing Tourism",,"Nitrophilous mosaic on a hard substrate with mussel and photophilic biocenosis of the upper infralittoral rock in calm mode without the dominance of fucales (RIPC/o)",,,"Natura 2000 (SIC - Portonovo e falesia calcarea a mare: IT5320006); Natura 2000 (SPA - Monte Conero: IT5320015)","no",,"no","no",,
"Natural reef","Italy","Veneto","Caorle","Caorle",45.58419,12.934181,,,"8 - 12",,3,"Sand, Detritic","Yes, algae","Patch reef (sand bottom with small reef structures protruding from the sediment)",,,,"Biogenic",7700000,,,,,,,,,,,,,,,,"Diving/Snorkeling","Diving/Snorkeling",,"DC (coastal detritic), C (precoralligen) ",,"Homarus gammarus, Sciaena umbra","Natura 2000 site (SIC IT3250048 - Tegnue di Porto Falconera); ZTB (Zona di Tutela Biologica, ""Biological protection area"")","no",,"no","no","Benthic community, Geophysical map, Sediments","ARPAV e Fondazione Musei Civici Venezia. 2010. Le tegnùe dell’Alto Adriatico: valorizzazione della risorsa marina attraverso lo studio di aree di pregio ambientale. pp: 203.;"
"Natural reef","Croatia","Zadar","Kamičići ","Kamičići reef",43.792,15.281,,,2,50,0.1,"Rocks","Yes","High profile reef (the reef protrudes more than 20 meters from the base substratum) ",,,,"Geogenic",146000,,,,,,,,,,,,,,,,"None","Diving/Snorkeling",,"Coralligenus, posidonia meadows","no",,"Marine Protected Area","no",,"MPA authorities","no",,
"Natural reef","Croatia","Zadar","Kornati MPA","Mana reef",43.805,15.274,,,3,30,0.05,"Rocks, Sand, Gravel","Yes","High profile reef (the reef protrudes more than 20 meters from the base substratum) ",,,,"Geogenic",27195,,,,,,,,,,,,,,,,"None","Diving/Snorkeling",,"Coralligenus, posidonia meadows","Caulerpa racemosa","Pinna nobilis","Marine Protected Area","no",,"MPA authorities","no",,
"Natural reef","Croatia","Zadar","Kornati MPA","Tovarnjak",43.841,15.243,,,3,31,0.15,"Rocks, Sand canals","Yes","Low profile reef (the reef protrudes less than 20 meters  from the base substratum)",,,,,283468,,,,,,,,,,,,,,,,"None","Diving/Snorkeling",,"Posidonia meadows","no","Pinna nobilis","Marine Protected Area","no",,"MPA authorities","no",,
"Natural reef","Italy","Veneto","Veneto","tegnùa Sealine",45.083101,12.55001,,,,1,12.1,"Sand, Mud, Detritic","No","Patch reef (sand bottom with small reef structures protruding from the sediment)",,,,"Biogenic",22470,,,,,,,,,,,,,,,,"Research","Research",,"DC (coastal detritic), C (precoralligen)",,"Homarus gammarus, Sciaena umbra","Area closed to navigation and fishing","no",,"yes","Piano di monitoraggio ambientale del Terminale GNL di Porto Viro e della condotta di collegamento alla terraferma","Benthic community, Fish community, Geophysical map","Piano di monitoraggio ambientale (fase di esercizio) del Terminale GNL di Porto Viro e della condotta di collegamento alla terraferma. ISPRA 2016. Relazione tecnico scientifica Indagini Remotely Operated Vehicle (ROV). Area del Terminale -Fase di esercizio provvisorio V anno (46 E), pp. 53.;"
"Natural reef","Italy","Veneto","Veneto","tegnùa Term 14",45.082813,12.577292,,,,2,14.1,"Sand, Mud, Detritic","No","Patch reef (sand bottom with small reef structures protruding from the sediment)",,,,"Biogenic",18755,,,,,,,,,,,,,,,,"Research","Research",,"DC (coastal detritic), C (precoralligen)",,"Homarus gammarus, Sciaena umbra","Area closed to navigation and fishing","no",,"yes","Piano di monitoraggio ambientale del Terminale GNL di Porto Viro e della condotta di collegamento alla terraferma","Benthic community, Fish community, Geophysical map","Piano di monitoraggio ambientale (fase di esercizio) del Terminale GNL di Porto Viro e della condotta di collegamento alla terraferma. ISPRA 2016. Relazione tecnico scientifica Indagini Remotely Operated Vehicle (ROV). Area del Terminale -Fase di esercizio provvisorio V anno (46 E), pp. 53.;"
"Natural reef","Croatia","Istra","Vrsar","Fujaga",45.1302,13.613,,,28,3,0.4,"Mud",,"Ledges (vertical reef face characterized by visible crevices)",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling","Diving/Snorkeling",,"Aplysina aerophoba",,,"protected reserve and shellfish farm","no",,,"No",,
"Natural reef","Croatia","Primorje-Gorski Kotar","Kampor","Mali Ćutin",44.7233,14.4927,,,48,5,22.2,,,"Ledges (vertical reef face characterized by visible crevices)",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling","Diving/Snorkeling",,"Eunicella Cavolinii, Paramuricea Clavata",,,"Protected area","no",,,"No",,
"Natural reef","Croatia","Šibenik","Murter","Borovik",43.8094,15.2569,,,40,0,37,,"No","Ledges (vertical reef face characterized by visible crevices)",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling","Diving/Snorkeling",,,,,"Protected area","no",,,"No",,
"Natural reef","Croatia","Šibenik","Murter","Rašip",43.7805,15.3008,,,45,0,33,,"No","Ledges (vertical reef face characterized by visible crevices)",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling","Diving/Snorkeling",,,,,"Protected area","no",,,"No",,
"Natural reef","Croatia","Šibenik","Murter","Opat",43.7455,15.4486,,,40,0,16.6,,"No","Ledges (vertical reef face characterized by visible crevices)",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling","Diving/Snorkeling",,,,,"Protected area","no",,,"No",,
"Natural reef","Croatia","Split-Dalmatia","Vis","Zelena špilja",43.0152,16.2244,,,20,3,16.6,,,"Ledges (vertical reef face characterized by visible crevices)",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling","Diving/Snorkeling",,,,,"Protected area","no",,,"No",,
"Natural reef","Italy","Marche","Grottammare","Scoglio di San Nicola",43.004,13.87,,,"1.5 - 4.5",8,0,"Sand","No","Patch reef (sand bottom with small reef structures protruding from the sediment)",,,,"Biogenic",180000,,,,,,,,,,,,,,,,"Snorkeling","Snorkeling",,"Sabellaria alcocki, Mytilus galloprovincialis",,"Paracentrotus lividus, Aplysina aerophoba","Natura 2000 site (SIC IT5340022 – Costa del Piceno - San Nicola a mare)","no",,,,"Benthic community, Geophysical map",
"Natural reef","Italy","Abruzzo","Ortona","Ripari di Giobbe","42.371","14.396",,,"6",,0.2,"Sand","No","Patch reef (sand bottom with small reef structures protruding from the sediment)",,,,"Geogenic",,,,,,,,,,,,,,,,,,"Diving/Snorkeling",,"population of mainly animal epibionate organisms: various porifers have been identified as well as a good covering of bivalves, while the vegetal component is represented by mainly brown algae, which formed an algal turf",,,"Regional Natural Reserve","Abruzzo Region",,"no","no","Benthic community, Fish community",
"Natural reef","Italy","Abruzzo","Ortona","Punta Acquabella","42.334","14.427",,,6.5,"3",0.1,"Sand","No","Patch reef (sand bottom with small reef structures protruding from the sediment)",,,,"Geogenic",,,,,,,,,,,,,,,,,,"Diving/Snorkeling",,"Algal turf made up of brown and green algae with real arborescent brown and red macroalgae, coralline and not. Also a lot of fishes",,,"Regional Natural Reserve; Protected areas system of the Teatine coast","Abruzzo region",,"no","no",,
"Natural reef","Croatia","Split-Dalmatia County","Pakleni otoci","Kampanel-Veli Vodnjak",43.172939,16.305722,,,57,47,0.5,"Detritic","No","High profile reef (the reef protrudes more than 20 meters from the base substratum) ",,,,"Geogenic and Biogenic",,,,,,,,,,,,,,,,,"Diving/Snorkeling","Diving/Snorkeling",,"Coraligen",,,"Natura 2000 site, Protected Landscape Pakleni otoci (only land protected, not sea)","Public Institution More i krš (Sea and Karst)",,"no","No",,"Association Sunce field mapping"
"Natural reef","Croatia","Split-Dalmatia County","Pakleni otoci","Rt Klobuk",43.168274,16.310559,,,50,25,0,"Detritic","No","High profile reef (the reef protrudes more than 20 meters from the base substratum) ",,,," Biogenic",,,,,,,,,,,,,,,,,"Diving/Snorkeling","Diving/Snorkeling",,"Coraligen",,,"Natura 2000 site, Protected Landscape Pakleni otoci (only land protected, not sea)","Public Institution More i krš (Sea and Karst)",,"no","No",,"Association Sunce field mapping"
"Natural reef","Croatia","Split-Dalmatia County","Pakleni otoci","Mali Vodnjak",43.175476,16.311157,,,45,25,0,"Detritic","Yes","High profile reef (the reef protrudes more than 20 meters from the base substratum) ",,,," Biogenic",,,,,,,,,,,,,,,,,"Diving/Snorkeling","Diving/Snorkeling",,"Coraligen",,,"Natura 2000 site, Protected Landscape Pakleni otoci (only land protected, not sea)","Public Institution More i krš (Sea and Karst)",,"no","No",,"Association Sunce field mapping"
"Natural reef","Croatia","Split-Dalmatia County","Pakleni otoci","Stambedar",43.144894,16.379939,,,50,0,0,"Detritic","No","High profile reef (the reef protrudes more than 20 meters from the base substratum) ",,,," Biogenic",,,,,,,,,,,,,,,,,"Diving/Snorkeling","Diving/Snorkeling",,"Coraligen",,,"Natura 2000 site, Protected Landscape Pakleni otoci (only land protected, not sea)","Public Institution More i krš (Sea and Karst)",,"no","No",,"Association Sunce field mapping"
"Natural reef","Croatia","Split-Dalmatia County","Pakleni otoci","Rt Močiguzica",43.177324,16.350836,,,50,25,0,"Detritic","Yes","High profile reef (the reef protrudes more than 20 meters from the base substratum) ",,,," Biogenic",,,,,,,,,,,,,,,,,"Diving/Snorkeling","Diving/Snorkeling",,"Coraligen",,,"Natura 2000 site, Protected Landscape Pakleni otoci (only land protected, not sea)","Public Institution More i krš (Sea and Karst)",,"no","No",,"Association Sunce field mapping"
"Natural reef","Croatia","Split-Dalmatia County","Pakleni otoci","Marginji rat",43.17652,16.339558,,,40,20,0,"Detritic","No","High profile reef (the reef protrudes more than 20 meters from the base substratum) ",,,," Biogenic",,,,,,,,,,,,,,,,,"Diving/Snorkeling","Diving/Snorkeling",,"Coraligen",,,"Natura 2000 site, Protected Landscape Pakleni otoci (only land protected, not sea)","Public Institution More i krš (Sea and Karst)",,"no","No",,"Association Sunce field mapping"
"Natural reef","Croatia","Split-Dalmatia County","Pakleni otoci","Dobri otok",43.149405,16.361327,,,50,50,0,"Detritic","Yes","High profile reef (the reef protrudes more than 20 meters from the base substratum) ",,,,"Geogenic and Biogenic",,,,,,,,,,,,,,,,,"Diving/Snorkeling","Diving/Snorkeling",,"Infralitoral algae, Coraligen",,,"Natura 2000 site, Protected Landscape Pakleni otoci (only land protected, not sea)","Public Institution More i krš (Sea and Karst)",,"no","No",,"Association Sunce field mapping"
"Natural reef","Italy","Apulia","Tremiti Islands","Mediterranean Mesophotic coral reef",42.127664,15.502311,,,"40","15",0.5,"Rocks, Sand","No","Low profile reef (the reef protrudes less than 20 meters  from the base substratum)",,,,"Biogenic","2510000",,,,,,,,,,,,,,,,"Diving/Snorkeling","Diving/Snorkeling",,"Encrusting calcareous algae ",,"Corallium rubrum","Marine Protected Area (Isole Tremiti); Natura 2000 (Isole Tremiti: IT9110011, IT9110040); ZTB (Zona di Tutela Biologica, ""Biological protection area"")","MPA Isole Tremiti; Natura 2000 (Isole Tremiti: IT9110011, IT9110040)",,"no","Monitoring program according to Marine Strategy Framework Directive (2008/56/CE) and Water Framework Directive (2000/60/CE)","Benthic community, Fish community, Geophysical map, Water column","Progetto BIOMAP - Biocostruzioni marine in Puglia - P.O. FESR 2007/2013 - ASSE IV - LINEA 4.4 - Azione 4.4.1  ( http://www.sit.puglia.it/portal/portale_rete_ecologica/biomap );"
"Natural reef","Italy","Apulia","Polignano a Mare","Mediterranean Mesophotic coral reef",41.007592,17.279544,,,"30","10",0.3,"Rocks, Sand","No","Low profile reef (the reef protrudes less than 20 meters  from the base substratum)",,,,"Biogenic","around 200000000",,,,,,,,,,,,,,,,"Diving/Snorkeling","Diving/Snorkeling",,"Encrusting calcareous algae ",,"Corallium rubrum","Marine Protected Area (Torre Guaceto); Natura 2000 (Litorale Brindisino: IT9140002, Posidonieto San Vito - Barletta: IT912000, Scoglio dell'Eremita: IT9120012)","MPA Torre Guaceto; Natura 2000 (Litorale Brindisino: IT9140002, Posidonieto San Vito - Barletta: IT912000, Scoglio dell'Eremita: IT9120012)",,"no","Monitoring program according to Marine Strategy Framework Directive (2008/56/CE) and Water Framework Directive (2000/60/CE)","Benthic community, Fish community, Geophysical map, Water column","Progetto BIOMAP - Biocostruzioni marine in Puglia - P.O. FESR 2007/2013 - ASSE IV - LINEA 4.4 - Azione 4.4.1  ( http://www.sit.puglia.it/portal/portale_rete_ecologica/biomap );"
"Natural reef","Croatia","Primorsko-Goranska county","Otok Prvić","Otok Prvić-sjeverna strana",44.9149,14.8187972222222,,,40,40,0,"Detritic","No","High profile reef (the reef protrudes more than 20 meters from the base substratum) ",,,,"Geogenic and Biogenic",,,,,,,,,,,,,,,,,"Diving/Snorkeling","Diving/Snorkeling",,"Infralitoral algae, Coraligen",,,"Natura 2000 site (Prvić-Grgur Reserve)","Public Institution Priroda",,"no","yes",,"Association Sunce field mapping"
"Natural reef","Croatia","Dubrovnik-Neretva County","Sušac","Rt Tripćavac",42.7487222222222,16.4900777777778,,,65,65,0,"Detritic","No","Ledges (vertical reef face characterized by visible crevices)",,,,"Geogenic and Biogenic",,,,,,,,,,,,,,,,,"Diving/Snorkeling","Diving/Snorkeling",,"Coraligen",,,"Nature Park Lastovo Islands/Natura 2000 site","Public institution Nature Park Lastovo Islands",,"Public institution Nature Park Lastovo Islands","No",,"Association Sunce field mapping"
"Natural reef","Croatia","Dubrovnik-Neretva County","Sušac","Rt Gradeška",42.7496222222222,16.49485,,,65,65,0,"Detritic","No","Ledges (vertical reef face characterized by visible crevices)",,,,"Geogenic and Biogenic",,,,,,,,,,,,,,,,,"Diving/Snorkeling","Diving/Snorkeling",,"Infralitoral algae, Coraligen",,,"Nature Park Lastovo Islands/Natura 2000 site","Public institution Nature Park Lastovo Islands",,"Public institution Nature Park Lastovo Islands","No",,"Association Sunce field mapping"
"Natural reef","Croatia","Dubrovnik-Neretva County","Sušac","Rt Žene",42.7630444444444,16.5353166666667,,,60,60,0,"Detritic","No","Ledges (vertical reef face characterized by visible crevices)",,,,"Geogenic and Biogenic",,,,,,,,,,,,,,,,,"Diving/Snorkeling","Diving/Snorkeling",,"Infralitoral algae, Coraligen",,,"Nature Park Lastovo Islands/Natura 2000 site","Public institution Nature Park Lastovo Islands",,"Public institution Nature Park Lastovo Islands","No",,"Association Sunce field mapping"
"Natural reef","Croatia","Dubrovnik-Neretva County","Sušac","Bila Ponta",42.759675,16.4927055555556,,,50,50,0,"Detritic","No","High profile reef (the reef protrudes more than 20 meters from the base substratum) ",,,,"Geogenic and Biogenic",,,,,,,,,,,,,,,,,"Diving/Snorkeling","Diving/Snorkeling",,"Infralitoral algae, Coraligen",,,"Nature Park Lastovo Islands/Natura 2000 site","Public institution Nature Park Lastovo Islands",,"Public institution Nature Park Lastovo Islands","No",,"Association Sunce field mapping"
"Natural reef","Croatia","Dubrovnik-Neretva County","Lastovo","Hrid Bijelac",42.758325,16.6792972222222,,,55,55,2.6,"Detritic","No","Ledges (vertical reef face characterized by visible crevices)",,,,"Geogenic and Biogenic",,,,,,,,,,,,,,,,,"Diving/Snorkeling","Diving/Snorkeling",,"Infralitoral algae, Coraligen",,,"Nature Park Lastovo Islands/Natura 2000 site","Public institution Nature Park Lastovo Islands",,"Public institution Nature Park Lastovo Islands","No",,"Association Sunce field mapping"
"Natural reef","Croatia","Dubrovnik-Neretva County","Lastovo","Rt Lasice",42.7520888888889,16.733525,,,45,45,0,"Detritic","No","Ledges (vertical reef face characterized by visible crevices)",,,,"Geogenic and Biogenic",,,,,,,,,,,,,,,,,"Diving/Snorkeling","Diving/Snorkeling",,"Infralitoral algae, Coraligen",,,"Nature Park Lastovo Islands/Natura 2000 site","Public institution Nature Park Lastovo Islands",,"Public institution Nature Park Lastovo Islands","No",,"Association Sunce field mapping"
